metric_id,metric_unit,asset_id,opc_ns,opc_id,notes
120A8HAD01CL001XQ01,%,kgw,4,120 A8 HAD01 CL001%#_#%%#_#%XQ01,external - %
120A8HAD01CP001XQ01,bar,kgw,4,120 A8 HAD01 CP001%#_#%%#_#%XQ01,external - bar
120A8HAD01DP001BXQ01,bar,kgw,4,120 A8 HAD01 DP001B%#_#%%#_#%XQ01,external - bar
120A8HAH01CT001XQ01,°C,kgw,4,120 A8 HAH01 CT001%#_#%%#_#%XQ01,external - °C
120A8HHG01CF001XQ01,Bm³/h,kgw,4,120 A8 HHG01 CF001%#_#%%#_#%XQ01,external - Bm³/h
120A8HHG02CF001XQ01,Bm³/h,kgw,4,120 A8 HHG02 CF001%#_#%%#_#%XQ01,external - Bm³/h
120A8LAB01AA001MXQ01,%,kgw,4,120 A8 LAB01 AA001M%#_#%%#_#%XQ01,external - %
120A8LAB01CF001XQ01,t/h,kgw,4,120 A8 LAB01 CF001%#_#%%#_#%XQ01,external - t/h
120A8LBA01AA301XQ01,%,kgw,4,120 A8 LBA01 AA301%#_#%%#_#%XQ01,external - %
120A8LBA01CP001BXQ01,bar,kgw,4,120 A8 LBA01 CP001B%#_#%%#_#%XQ01,external - bar
120A8LBA01CP001XQ01,bar,kgw,4,120 A8 LBA01 CP001%#_#%%#_#%XQ01,K8 P STM - bar
120A8LBA01CT001XQ01,°C,kgw,4,120 A8 LBA01 CT001%#_#%%#_#%XQ01,K8 T STM - °C
120A8LBA01FF001XQ01,t/h,kgw,4,120 A8 LBA01 FF001%#_#%%#_#%XQ01,K8 STM-F - t/h
053A0LBA12CP001XQ01,bar,kgw,4,053_A0_LBA12_CP001%#_#%%#_#%XQ01,external - bar
053A0LBD07CP9011v2ZQ12,bar,kgw,4,053 A0 LBD07 CP901_1v2%#_#%%#_#%ZQ12,external - bar
053A0LBD17AA001XQ01,%,kgw,4,053 A0 LBD17 AA001%#_#%%#_#%XQ01,external - %
053A0LCP20CT001XQ01,°C,kgw,4,053_A0_LCP20_CT001%#_#%%#_#%XQ01,external - °C
053A5MAL23AA151XB01,,kgw,4,053_A5_MAL23_AA151%#_#%%#_#%XB01,external
053A5MAL23AA151XB95,,kgw,4,053_A5_MAL23_AA151%#_#%%#_#%XB95,external
053A6LAF50CG001XQ01,%,kgw,4,053_A6_LAF50_CG001%#_#%%#_#%XQ01,external - %
053A6LAF52CG001XQ01,%,kgw,4,053_A6_LAF52_CG001%#_#%%#_#%XQ01,external - %
053A6LAF52DT001XQ91,°C,kgw,4,053_A6_LAF52_DT001%#_#%%#_#%XQ91,external - °C
053A6LBA50CP901XQ01,bar,kgw,4,053_A6_LBA50_CP901%#_#%%#_#%XQ01,external - bar
053A6LBA50CT901XQ01,°C,kgw,4,053_A6_LBA50_CT901%#_#%%#_#%XQ01,external - °C
053A6LBA50FF001XQ01,t/h,kgw,4,053_A6_LBA50_FF001%#_#%%#_#%XQ01,FD 110bar v DT5 korr - t/h
053A6LBD54AA002XC95,%,kgw,4,053_A6_LBD54_AA002%#_#%%#_#%XC95,external - %
053A6LBD54AA002YQ01,%,kgw,4,053_A6_LBD54_AA002%#_#%%#_#%YQ01,external - %
053A6LBD54AA171XB01,,kgw,4,053_A6_LBD54_AA171%#_#%%#_#%XB01,external
053A6LBD54AA171XB95,,kgw,4,053_A6_LBD54_AA171%#_#%%#_#%XB95,external
053A6LBD54CG001XQ01,%,kgw,4,053_A6_LBD54_CG001%#_#%%#_#%XQ01,external - %
053A6LBD54CG002XQ01,%,kgw,4,053_A6_LBD54_CG002%#_#%%#_#%XQ01,external - %
053A6LBD54CT002XQ01,°C,kgw,4,053_A6_LBD54_CT002%#_#%%#_#%XQ01,external - °C
053A6LBD55CP901ZQ01,bar,kgw,4,053_A6_LBD55_CP901%#_#%%#_#%ZQ01,external - bar
053A6LBD55CT901ZQ01,°C,kgw,4,053_A6_LBD55_CT901%#_#%%#_#%ZQ01,external - °C
053A6LBE53AA771XB01,,kgw,4,053_A6_LBE53_AA771%#_#%%#_#%XB01,external
053A6LBE53AA771XB95,,kgw,4,053_A6_LBE53_AA771%#_#%%#_#%XB95,external
